anchor,positive,negative
"Ngành Đá quý Đá mỹ nghệ học những môn gì trong Học Kỳ 2 năm Nhất?","Trong Học Kỳ 2 năm Nhất, ngành Đá quý Đá mỹ nghệ học Giải tích 2, Hóa học đại cương phần 1 + TN, Tiếng Anh 2, Giáo dục thể chất 2, Địa chất đại cương, Nhập môn đá quý, đá mỹ nghệ.","Trong Học Kỳ 2 năm Nhất, ngành Đá quý Đá mỹ nghệ học các môn về hóa học, địa chất và nhập môn về đá quý, đá mỹ nghệ."
"Ngành Đá quý Đá mỹ nghệ học những môn gì trong Học Kỳ 3 năm Nhất?","Trong Học Kỳ 3 năm Nhất, ngành Đá quý Đá mỹ nghệ học Xác suất thống kê, Hình học và vẽ kỹ thuật + BTL, Giáo dục thể chất 3, Kinh tế chính trị Mác - Lênin, Khoáng vật học + TH, Tin học đại cương + TH (khối kỹ thuật).","Trong Học Kỳ 3 năm Nhất, ngành Đá quý Đá mỹ nghệ học các môn về xác suất, hình học, khoáng vật học và tin học."
"Ngành Đá quý Đá mỹ nghệ học những môn gì trong Học Kỳ 4 năm Nhất?","Trong Học Kỳ 4 năm Nhất, ngành Đá quý Đá mỹ nghệ học Địa chất cấu tạo và đo vẽ bản đồ địa chất, Thạch học + TH, Tính trữ và Quang tinh, Cơ học đá và khối đá.","Trong Học Kỳ 4 năm Nhất, ngành Đá quý Đá mỹ nghệ học các môn về địa chất, thạch học và cơ học đá."
"Ngành Đá quý Đá mỹ nghệ học những môn gì trong Học Kỳ 5 năm Nhất?","Trong Học Kỳ 5 năm Nhất, ngành Đá quý Đá mỹ nghệ học Chủ nghĩa xã hội khoa học, Địa chất khoáng sản + TH, Kim cương và đá màu, Đá mỹ nghệ, Tài nguyên đá quý và đá mỹ nghệ Việt Nam, Đường lối quốc phòng và an ninh của Đảng CSVN.","Trong Học Kỳ 5 năm Nhất, ngành Đá quý Đá mỹ nghệ học các môn về khoáng sản, kim cương, đá màu, tài nguyên đá quý và đá mỹ nghệ."
"Ngành Đá quý Đá mỹ nghệ học những môn gì trong Học Kỳ 6 năm Nhất?","Trong Học Kỳ 6 năm Nhất, ngành Đá quý Đá mỹ nghệ học Tư tưởng Hồ Chí Minh, Tiếng Anh chuyên ngành Đá quý, đá mỹ nghệ, Đá quý, đá mỹ nghệ và cuộc sống, Phương pháp thăm dò các mỏ đá quý, đá mỹ nghệ + TH, Phương pháp điều tra, đánh giá tài nguyên đá quý, đá mỹ nghệ, Công tác quốc phòng và an ninh.","Trong Học Kỳ 6 năm Nhất, ngành Đá quý Đá mỹ nghệ học các môn về tiếng Anh chuyên ngành, phương pháp thăm dò và điều tra tài nguyên đá quý."
"Ngành Đá quý Đá mỹ nghệ học những môn gì trong Học Kỳ 7 năm Nhất?","Trong Học Kỳ 7 năm Nhất, ngành Đá quý Đá mỹ nghệ học Marketing đá quý, đá mỹ nghệ, Phương pháp nâng cao chất lượng Đá quý, đá mỹ nghệ, Phương pháp và thiết bị giám định đá quý, đá mỹ nghệ + TH, Công tác quốc phòng - an ninh.","Trong Học Kỳ 7 năm Nhất, ngành Đá quý Đá mỹ nghệ học các môn về marketing, nâng cao chất lượng và giám định đá quý, đá mỹ nghệ."
"Ngành Đá quý Đá mỹ nghệ học những môn gì trong Học Kỳ 8 năm Nhất?","Trong Học Kỳ 8 năm Nhất, ngành Đá quý Đá mỹ nghệ học Đường lối cách mạng của Đảng Cộng sản Việt Nam, Quản lý và điều hành doanh nghiệp đá quý, đá mỹ nghệ, Phương pháp chế tác đá quý, đá mỹ nghệ + TH, Định giá đá quý, đá mỹ nghệ + TH, Đường lối quân sự của Đảng.","Trong Học Kỳ 8 năm Nhất, ngành Đá quý Đá mỹ nghệ học các môn về quản lý doanh nghiệp, chế tác và định giá đá quý."
"Ngành Đá quý Đá mỹ nghệ học những môn gì trong Học Kỳ 9 năm Nhất?","Trong Học Kỳ 9 năm Nhất, ngành Đá quý Đá mỹ nghệ học Thực tập doanh nghiệp, Đồ án tốt nghiệp.","Trong Học Kỳ 9 năm Nhất, ngành Đá quý Đá mỹ nghệ học thực tập tại doanh nghiệp và hoàn thành đồ án tốt nghiệp."
"Ngành Kỹ thuật khí thiên nhiên học những môn gì trong Học Kỳ 1 năm Nhất?","Trong Học Kỳ 1 năm Nhất, ngành Kỹ thuật khí thiên nhiên học Đại số tuyến tính, Giải tích 1, Thí nghiệm vật lý 1, Vật lý đại cương 1, Tiếng Anh 1, Giáo dục thể chất 1, Pháp luật đại cương.","Trong Học Kỳ 1 năm Nhất, ngành Kỹ thuật khí thiên nhiên học các môn toán học, vật lý cơ bản và các môn xã hội như Tiếng Anh và Pháp luật."
"Ngành Kỹ thuật khí thiên nhiên học những môn gì trong Học Kỳ 2 năm Nhất?","Trong Học Kỳ 2 năm Nhất, ngành Kỹ thuật khí thiên nhiên học Giải tích 2, Phương pháp tính, Hóa học đại cương phần 1 + TN, Tiếng Anh 2, Giáo dục thể chất 2, Triết học Mác - Lênin, Nhập môn ngành Kỹ thuật khí thiên nhiên.","Trong Học Kỳ 2 năm Nhất, ngành Kỹ thuật khí thiên nhiên học các môn về giải tích, phương pháp tính, hóa học và nhập môn ngành kỹ thuật khí thiên nhiên."
"Ngành Kỹ thuật khí thiên nhiên học những môn gì trong Học Kỳ 3 năm Nhất?","Trong Học Kỳ 3 năm Nhất, ngành Kỹ thuật khí thiên nhiên học Xác suất thống kê, Hình học và vẽ kỹ thuật + BTL, Giáo dục thể chất 3, Kinh tế chính trị Mác - Lênin, Sức bền vật liệu, Địa chất cơ sở, Kỹ thuật khí thiên nhiên đại cương.","Trong Học Kỳ 3 năm Nhất, ngành Kỹ thuật khí thiên nhiên học các môn về xác suất thống kê, địa chất, và kỹ thuật khí thiên nhiên cơ bản."
"Ngành Kỹ thuật khí thiên nhiên học những môn gì trong Học Kỳ 4 năm Nhất?","Trong Học Kỳ 4 năm Nhất, ngành Kỹ thuật khí thiên nhiên học Cân bằng pha và hóa keo + TN, Một số quá trình và thiết bị trong công nghệ hóa học, Nhiệt động học trong kỹ thuật khí thiên nhiên, Tính chất vật lý tầng chứa, Dòng chảy của khí trong môi trường rỗng, Công tác quốc phòng - an ninh.","Trong Học Kỳ 4 năm Nhất, ngành Kỹ thuật khí thiên nhiên học các môn về nhiệt động học, dòng chảy khí, và tính chất vật lý trong kỹ thuật khí thiên nhiên."
"Ngành Kỹ thuật khí thiên nhiên học những môn gì trong Học Kỳ 5 năm Nhất?","Trong Học Kỳ 5 năm Nhất, ngành Kỹ thuật khí thiên nhiên học Chủ nghĩa xã hội khoa học, Địa vật lý Đại cương, Truyền nhiệt, Tiêu chuẩn kỹ thuật trong công nghiệp dầu khí, Hệ thống thiết bị xử lý khí, Khoan và hoàn thiện giếng dầu khí, Quản lý dự án trong công nghiệp dầu khí, Đường lối quân sự của Đảng.","Trong Học Kỳ 5 năm Nhất, ngành Kỹ thuật khí thiên nhiên học các môn về truyền nhiệt, khoan giếng dầu khí và quản lý dự án dầu khí."
"Ngành Kỹ thuật khí thiên nhiên học những môn gì trong Học Kỳ 6 năm Nhất?","Trong Học Kỳ 6 năm Nhất, ngành Kỹ thuật khí thiên nhiên học Tư tưởng Hồ Chí Minh, Kỹ thuật bảo hộ lao động và bảo vệ môi trường, Mô phỏng số trong kỹ thuật khí thiên nhiên, Tiếng Anh chuyên ngành kỹ thuật khí thiên nhiên, Thực tập giáo học kỹ thuật khí thiên nhiên, Quản sự chung và chiến thuật.","Trong Học Kỳ 6 năm Nhất, ngành Kỹ thuật khí thiên nhiên học các môn về bảo vệ môi trường, mô phỏng số, và thực tập chuyên ngành."
"Ngành Kỹ thuật khí thiên nhiên học những môn gì trong Học Kỳ 7 năm Nhất?","Trong Học Kỳ 7 năm Nhất, ngành Kỹ thuật khí thiên nhiên học Lịch sử Đảng Cộng sản Việt Nam, Công nghệ chế biến khí, Đo lường khí, Công nghệ khai thác giếng khí, Thu gom, xử lý và vận chuyển khí.","Trong Học Kỳ 7 năm Nhất, ngành Kỹ thuật khí thiên nhiên học các môn về công nghệ chế biến khí, đo lường khí và khai thác giếng khí."
"Ngành Kỹ thuật khí thiên nhiên học những môn gì trong Học Kỳ 8 năm Nhất?","Trong Học Kỳ 8 năm Nhất, ngành Kỹ thuật khí thiên nhiên học Công nghệ hóa lỏng khí thiên nhiên, Thiết kế trữ khí, Đồ án thiết kế tăng trữ khí, Phân phối khí, Tự động hóa trong công nghiệp dầu khí.","Trong Học Kỳ 8 năm Nhất, ngành Kỹ thuật khí thiên nhiên học các môn về công nghệ hóa lỏng khí, thiết kế trữ khí và tự động hóa trong công nghiệp dầu khí."
"Ngành Kỹ thuật khí thiên nhiên học những môn gì trong Học Kỳ 9 năm Nhất?","Trong Học Kỳ 9 năm Nhất, ngành Kỹ thuật khí thiên nhiên học Thực tập doanh nghiệp, Đồ án tốt nghiệp.","Trong Học Kỳ 9 năm Nhất, ngành Kỹ thuật khí thiên nhiên học thực tập tại doanh nghiệp và làm đồ án tốt nghiệp."
"Ngành Kỹ thuật khí thiên nhiên có môn học nào về hóa học?","Trong Học Kỳ 2 năm Nhất, ngành Kỹ thuật khí thiên nhiên học Hóa học đại cương phần 1 + TN, và trong Học Kỳ 4 năm Nhất, học Một số quá trình và thiết bị trong công nghệ hóa học.","Trong Học Kỳ 2 năm Nhất, ngành Kỹ thuật khí thiên nhiên học môn Hóa học đại cương phần 1 + TN."
"Ngành Kỹ thuật khí thiên nhiên có môn học nào liên quan đến khí?","Trong Học Kỳ 7 năm Nhất, ngành Kỹ thuật khí thiên nhiên học các môn về công nghệ chế biến khí, đo lường khí, công nghệ khai thác giếng khí, thu gom, xử lý và vận chuyển khí.","Trong Học Kỳ 7 năm Nhất, ngành Kỹ thuật khí thiên nhiên học các môn liên quan đến khí như đo lường khí và khai thác giếng khí."
"Ngành Kỹ thuật khí thiên nhiên có môn học nào về bảo vệ môi trường?","Trong Học Kỳ 6 năm Nhất, ngành Kỹ thuật khí thiên nhiên học Kỹ thuật bảo hộ lao động và bảo vệ môi trường.","Trong Học Kỳ 6 năm Nhất, ngành Kỹ thuật khí thiên nhiên học môn bảo vệ môi trường và bảo hộ lao động."
"Ngành Kỹ thuật khí thiên nhiên có môn học nào về máy móc, thiết bị?","Trong Học Kỳ 5 năm Nhất, ngành Kỹ thuật khí thiên nhiên học các môn về hệ thống thiết bị xử lý khí và khoan giếng dầu khí.","Trong Học Kỳ 5 năm Nhất, ngành Kỹ thuật khí thiên nhiên học các môn về thiết bị trong công nghiệp dầu khí."
"Ngành Kỹ thuật khí thiên nhiên có môn học nào về tự động hóa?","Trong Học Kỳ 8 năm Nhất, ngành Kỹ thuật khí thiên nhiên học môn Tự động hóa trong công nghiệp dầu khí.","Trong Học Kỳ 8 năm Nhất, ngành Kỹ thuật khí thiên nhiên học môn về tự động hóa trong công nghiệp dầu khí."
"Ngành Kỹ thuật khí thiên nhiên học môn gì về chiến lược quân sự?","Trong Học Kỳ 6 năm Nhất, ngành Kỹ thuật khí thiên nhiên học Quản sự chung và chiến thuật, và trong Học Kỳ 7 năm Nhất, học Đường lối quân sự của Đảng.","Trong Học Kỳ 6 năm Nhất, ngành Kỹ thuật khí thiên nhiên học môn về chiến thuật và quân sự."
"Ngành Kỹ thuật khí thiên nhiên có môn học nào về công nghệ khí?","Trong Học Kỳ 7 năm Nhất, ngành Kỹ thuật khí thiên nhiên học Công nghệ chế biến khí, đo lường khí, công nghệ khai thác giếng khí, thu gom và xử lý khí.","Trong Học Kỳ 7 năm Nhất, ngành Kỹ thuật khí thiên nhiên học các môn liên quan đến công nghệ chế biến và vận chuyển khí."
"Ngành Kỹ thuật khí thiên nhiên học môn gì về giếng dầu khí?","Trong Học Kỳ 5 năm Nhất, ngành Kỹ thuật khí thiên nhiên học Khoan và hoàn thiện giếng dầu khí.","Trong Học Kỳ 5 năm Nhất, ngành Kỹ thuật khí thiên nhiên học môn khoan giếng dầu khí và hoàn thiện giếng."
"Ngành Kỹ thuật khí thiên nhiên học môn gì về khí thiên nhiên?","Trong Học Kỳ 3 năm Nhất, ngành Kỹ thuật khí thiên nhiên học Kỹ thuật khí thiên nhiên đại cương.","Trong Học Kỳ 3 năm Nhất, ngành Kỹ thuật khí thiên nhiên học môn về kỹ thuật khí thiên nhiên đại cương."
"Ngành Công nghệ số trong thăm dò và khai thác tài nguyên thiên nhiên học những môn gì trong Học kỳ 1 năm Nhất?","Trong Học kỳ 1 năm Nhất, ngành Công nghệ số trong thăm dò và khai thác tài nguyên thiên nhiên học Đại số tuyến tính, Giải tích 1, Hóa học đại cương phần 1 + TN, Tiếng Anh 1, Địa hóa dầu khí, Pháp luật đại cương, Cấu trúc dữ liệu và giải thuật.","Trong Học kỳ 1 năm Nhất, ngành Công nghệ số trong thăm dò và khai thác tài nguyên thiên nhiên học các môn cơ bản về toán, hóa học, địa hóa dầu khí, và pháp luật."
"Ngành Công nghệ số trong thăm dò và khai thác tài nguyên thiên nhiên học những môn gì trong Học kỳ 2 năm Nhất?","Trong Học kỳ 2 năm Nhất, ngành Công nghệ số trong thăm dò và khai thác tài nguyên thiên nhiên học Giải tích 2, Thí nghiệm vật lý 1, Vật lý đại cương 1, Tiếng Anh 2, Địa chất cơ sở, Triết học Mác - Lênin, Xác suất thống kê.","Trong Học kỳ 2 năm Nhất, ngành Công nghệ số trong thăm dò và khai thác tài nguyên thiên nhiên học các môn về giải tích, vật lý, địa chất cơ sở và xác suất thống kê."
"Ngành Công nghệ số trong thăm dò và khai thác tài nguyên thiên nhiên học những môn gì trong Học kỳ 3 năm Nhất?","Trong Học kỳ 3 năm Nhất, ngành Công nghệ số trong thăm dò và khai thác tài nguyên thiên nhiên học Xác suất thống kê, Kinh tế chính trị Mác - Lênin, Địa chất cấu tạo và vẽ bản đồ địa chất, Thực tập địa chất cơ sở, Tinh thể, khoáng vật, thạch học, Ngôn ngữ lập trình Python.","Trong Học kỳ 3 năm Nhất, ngành Công nghệ số trong thăm dò và khai thác tài nguyên thiên nhiên học các môn về địa chất, lập trình Python, và thạch học."
"Ngành Công nghệ số trong thăm dò và khai thác tài nguyên thiên nhiên học những môn gì trong Học kỳ 4 năm Nhất?","Trong Học kỳ 4 năm Nhất, ngành Công nghệ số trong thăm dò và khai thác tài nguyên thiên nhiên học Chủ nghĩa xã hội khoa học, Thực tập địa chất cấu tạo và đo vẽ bản đồ địa chất, Địa chất dầu khí đại cương, Quản trị học, Cơ sở dữ liệu, Lập trình Python 2, Công tác quốc phòng - an ninh.","Trong Học kỳ 4 năm Nhất, ngành Công nghệ số trong thăm dò và khai thác tài nguyên thiên nhiên học các môn về địa chất dầu khí, quản trị học và lập trình Python."
